month,pincode,mbu_demand
2025-03,136117,300
2025-03,136118,678
2025-03,136119,306
2025-03,136128,360
2025-03,136129,96
2025-03,136130,82
2025-03,136131,383
2025-03,136132,230
2025-03,136135,402
2025-03,136136,60
2025-03,136156,155
2025-03,140001,278
2025-03,140101,168
2025-03,140102,41
2025-03,140103,242
2025-03,140108,123
2025-03,140109,26
2025-03,140110,69
2025-03,140111,122
2025-03,140112,53
2025-03,140113,83
2025-03,140114,48
2025-03,140115,35
2025-03,140116,59
2025-03,140117,184
2025-03,140118,38
2025-03,140119,69
2025-03,140123,52
2025-03,140124,59
2025-03,140125,61
2025-03,140126,131
2025-03,140133,68
2025-03,140201,95
2025-03,140301,550
2025-03,140306,228
2025-03,140307,194
2025-03,140308,80
2025-03,140401,578
2025-03,140405,31
2025-03,140406,428
2025-03,140407,26
2025-03,140412,229
2025-03,140413,75
2025-03,140417,146
2025-03,140501,357
2025-03,140506,14
2025-03,140507,279
2025-03,140601,261
2025-03,140602,116
2025-03,140603,366
2025-03,140604,99
2025-03,140701,130
2025-03,140702,111
2025-03,140802,39
2025-03,140901,75
2025-03,141001,955
2025-03,141002,174
2025-03,141003,804
2025-03,141004,17
2025-03,141006,48
2025-03,141007,757
2025-03,141008,1193
2025-03,141010,396
2025-03,141012,305
2025-03,141013,281
2025-03,141014,210
2025-03,141015,318
2025-03,141016,314
2025-03,141017,32
2025-03,141101,75
2025-03,141102,32
2025-03,141103,14
2025-03,141104,57
2025-03,141105,26
2025-03,141107,51
2025-03,141108,66
2025-03,141109,257
2025-03,141110,55
2025-03,141112,80
2025-03,141113,56
2025-03,141114,256
2025-03,141115,185
2025-03,141116,175
2025-03,141117,108
2025-03,141118,142
2025-03,141119,107
2025-03,141120,118
2025-03,141121,100
2025-03,141122,57
2025-03,141123,102
2025-03,141124,45
2025-03,141125,32
2025-03,141126,103
2025-03,141201,12
2025-03,141202,35
2025-03,141203,25
2025-03,141204,60
2025-03,141205,39
2025-03,141206,59
2025-03,141401,535
2025-03,141411,75
2025-03,141412,21
2025-03,141413,57
2025-03,141414,86
2025-03,141415,40
2025-03,141416,98
2025-03,141417,42
2025-03,141418,56
2025-03,141419,40
2025-03,141421,231
2025-03,141422,14
2025-03,141801,61
2025-03,142001,480
2025-03,142011,56
2025-03,142021,99
2025-03,142022,110
2025-03,142023,69
2025-03,142024,59
2025-03,142025,55
2025-03,142026,322
2025-03,142027,70
2025-03,142029,52
2025-03,142030,62
2025-03,142031,42
2025-03,142032,86
2025-03,142033,180
2025-03,142034,44
2025-03,142035,167
2025-03,142036,61
2025-03,142037,93
2025-03,142038,291
2025-03,142039,93
2025-03,142040,43
2025-03,142041,69
2025-03,142042,242
2025-03,142043,285
2025-03,142044,204
2025-03,142045,23
2025-03,142046,37
2025-03,142047,396
2025-03,142048,241
2025-03,142049,252
2025-03,142050,148
2025-03,142052,198
2025-03,142053,73
2025-03,142054,55
2025-03,142055,90
2025-03,142056,91
2025-03,142057,148
2025-03,142058,118
2025-03,142060,103
2025-03,143001,2046
2025-03,143002,93
2025-03,143003,10
2025-03,143008,128
2025-03,143009,112
2025-03,143022,141
2025-03,143101,250
2025-03,143102,674
2025-03,143103,157
2025-03,143104,23
2025-03,143105,403
2025-03,143107,162
2025-03,143108,329
2025-03,143109,159
2025-03,143110,313
2025-03,143111,247
2025-03,143112,230
2025-03,143113,86
2025-03,143114,219
2025-03,143115,161
2025-03,143116,158
2025-03,143117,142
2025-03,143118,109
2025-03,143119,143
2025-03,143149,156
2025-03,143201,127
2025-03,143202,71
2025-03,143203,66
2025-03,143204,17
2025-03,143205,75
2025-03,143301,156
2025-03,143302,195
2025-03,143303,127
2025-03,143304,178
2025-03,143305,274
2025-03,143401,522
2025-03,143406,180
2025-03,143407,52
2025-03,143408,78
2025-03,143409,140
2025-03,143410,132
2025-03,143411,122
2025-03,143412,110
2025-03,143413,65
2025-03,143414,66
2025-03,143415,143
2025-03,143416,472
2025-03,143419,306
2025-03,143422,24
2025-03,143501,177
2025-03,143502,147
2025-03,143504,72
2025-03,143505,632
2025-03,143506,62
2025-03,143507,178
2025-03,143511,242
2025-03,143512,120
2025-03,143513,121
2025-03,143514,158
2025-03,143515,111
2025-03,143516,206
2025-03,143517,134
2025-03,143518,258
2025-03,143519,233
2025-03,143520,175
2025-03,143521,438
2025-03,143525,61
2025-03,143526,140
2025-03,143527,139
2025-03,143528,86
2025-03,143529,102
2025-03,143530,149
2025-03,143531,247
2025-03,143532,107
2025-03,143533,105
2025-03,143534,129
2025-03,143601,358
2025-03,143602,245
2025-03,143603,107
2025-03,143604,322
2025-03,143605,91
2025-03,143606,208
2025-03,144001,451
2025-03,144002,526
2025-03,144003,350
2025-03,144004,387
2025-03,144005,219
2025-03,144006,33
2025-03,144007,62
2025-03,144008,232
2025-03,144009,143
2025-03,144010,20
2025-03,144012,77
2025-03,144013,90
2025-03,144014,18
2025-03,144020,70
2025-03,144021,178
2025-03,144022,126
2025-03,144023,133
2025-03,144024,87
2025-03,144025,92
2025-03,144026,186
2025-03,144028,25
2025-03,144029,10
2025-03,144031,27
2025-03,144032,11
2025-03,144033,93
2025-03,144034,93
2025-03,144035,17
2025-03,144036,42
2025-03,144037,55
2025-03,144039,196
2025-03,144040,194
2025-03,144041,261
2025-03,144042,71
2025-03,144043,70
2025-03,144044,35
2025-03,144101,84
2025-03,144102,191
2025-03,144103,23
2025-03,144104,17
2025-03,144105,78
2025-03,144106,60
2025-03,144201,306
2025-03,144202,127
2025-03,144203,51
2025-03,144204,87
2025-03,144205,342
2025-03,144206,23
2025-03,144207,121
2025-03,144208,123
2025-03,144209,17
2025-03,144210,63
2025-03,144211,161
2025-03,144212,39
2025-03,144213,31
2025-03,144214,86
2025-03,144216,56
2025-03,144221,150
2025-03,144222,107
2025-03,144223,33
2025-03,144224,45
2025-03,144301,128
2025-03,144302,21
2025-03,144303,83
2025-03,144305,43
2025-03,144306,208
2025-03,144311,53
2025-03,144401,425
2025-03,144402,133
2025-03,144403,41
2025-03,144405,26
2025-03,144407,37
2025-03,144408,21
2025-03,144409,255
2025-03,144410,304
2025-03,144416,75
2025-03,144417,32
2025-03,144418,72
2025-03,144419,37
2025-03,144421,19
2025-03,144422,24
2025-03,144501,35
2025-03,144502,32
2025-03,144503,57
2025-03,144504,32
2025-03,144505,108
2025-03,144506,10
2025-03,144507,50
2025-03,144508,10
2025-03,144509,23
2025-03,144510,14
2025-03,144511,12
2025-03,144512,28
2025-03,144513,26
2025-03,144514,134
2025-03,144515,72
2025-03,144516,37
2025-03,144517,78
2025-03,144518,31
2025-03,144519,29
2025-03,144520,29
2025-03,144521,183
2025-03,144522,54
2025-03,144523,74
2025-03,144524,47
2025-03,144525,58
2025-03,144526,56
2025-03,144527,122
2025-03,144528,44
2025-03,144529,30
2025-03,144530,28
2025-03,144531,21
2025-03,144532,32
2025-03,144533,33
2025-03,144601,450
2025-03,144602,10
2025-03,144606,55
2025-03,144620,93
2025-03,144621,74
2025-03,144622,137
2025-03,144623,101
2025-03,144624,48
2025-03,144625,47
2025-03,144626,172
2025-03,144628,120
2025-03,144629,222
2025-03,144630,125
2025-03,144631,34
2025-03,144632,139
2025-03,144633,18
2025-03,144701,143
2025-03,144702,302
2025-03,144703,82
2025-03,144801,201
2025-03,144802,88
2025-03,144803,23
2025-03,144804,149
2025-03,144805,33
2025-03,144806,88
2025-03,144819,31
2025-03,145001,404
2025-03,145022,60
2025-03,145023,165
2025-03,145024,20
2025-03,145025,235
2025-03,145026,48
2025-03,145027,43
2025-03,145029,59
2025-03,145101,58
2025-03,146001,540
2025-03,146021,17
2025-03,146022,24
2025-03,146023,18
2025-03,146024,28
2025-03,146101,18
2025-03,146102,76
2025-03,146103,12
2025-03,146104,34
2025-03,146105,36
2025-03,146108,20
2025-03,146109,38
2025-03,146110,25
2025-03,146111,60
2025-03,146112,40
2025-03,146113,57
2025-03,146114,29
2025-03,146115,19
2025-03,146116,22
2025-03,147001,1186
2025-03,147002,117
2025-03,147003,37
2025-03,147004,34
2025-03,147005,12
2025-03,147021,104
2025-03,147101,418
2025-03,147102,153
2025-03,147103,77
2025-03,147104,77
2025-03,147105,409
2025-03,147111,256
2025-03,147201,465
2025-03,147202,190
2025-03,147203,137
2025-03,147301,377
2025-03,147506,30
2025-03,148001,472
2025-03,148018,43
2025-03,148019,18
2025-03,148020,116
2025-03,148021,105
2025-03,148022,107
2025-03,148023,359
2025-03,148024,403
2025-03,148025,150
2025-03,148026,299
2025-03,148027,328
2025-03,148028,423
2025-03,148029,14
2025-03,148030,201
2025-03,148031,262
2025-03,148033,294
2025-03,148034,89
2025-03,148035,230
2025-03,148100,80
2025-03,148101,300
2025-03,148102,102
2025-03,148103,113
2025-03,148104,144
2025-03,148105,194
2025-03,148106,185
2025-03,148107,106
2025-03,148108,169
2025-03,148109,182
2025-03,151001,1341
2025-03,151002,28
2025-03,151003,12
2025-03,151005,103
2025-03,151101,386
2025-03,151102,124
2025-03,151103,394
2025-03,151104,71
2025-03,151105,56
2025-03,151106,75
2025-03,151108,109
2025-03,151111,135
2025-03,151201,398
2025-03,151202,213
2025-03,151203,537
2025-03,151204,326
2025-03,151205,82
2025-03,151206,178
2025-03,151207,155
2025-03,151208,120
2025-03,151209,103
2025-03,151210,207
2025-03,151211,142
2025-03,151212,191
2025-03,151301,363
2025-03,151302,239
2025-03,151401,357
2025-03,151501,160
2025-03,151502,294
2025-03,151503,125
2025-03,151504,225
2025-03,151505,672
2025-03,151506,376
2025-03,151507,316
2025-03,151508,133
2025-03,151509,474
2025-03,152001,105
2025-03,152002,587
2025-03,152003,220
2025-03,152004,151
2025-03,152005,20
2025-03,152021,248
2025-03,152022,455
2025-03,152023,455
2025-03,152024,838
2025-03,152025,177
2025-03,152026,628
2025-03,152028,122
2025-03,152031,309
2025-03,152032,187
2025-03,152033,98
2025-03,152101,409
2025-03,152107,542
2025-03,152112,328
2025-03,152113,192
2025-03,152114,135
2025-03,152115,74
2025-03,152116,689
2025-03,152117,108
2025-03,152121,99
2025-03,152122,82
2025-03,152123,985
2025-03,152124,175
2025-03,152128,217
2025-03,152132,172
2025-03,160002,259
2025-03,160003,64
2025-03,160009,26
2025-03,160011,31
2025-03,160012,20
2025-03,160014,539
2025-03,160015,52
2025-03,160018,14
2025-03,160019,135
2025-03,160020,38
2025-03,160022,80
2025-03,160023,38
2025-03,160025,135
2025-03,160030,98
2025-03,160036,323
2025-03,160047,417
2025-03,160055,207
2025-03,160059,42
2025-03,160062,141
2025-03,160071,44
2025-03,160101,433
2025-03,160102,270
2025-03,160103,154
2025-03,160104,36
2025-03,171001,45
2025-03,171002,21
2025-03,171003,19
2025-03,171004,26
2025-03,171005,25
2025-03,171006,52
2025-03,171007,53
2025-03,171009,73
2025-03,171011,77
2025-03,171012,36
2025-03,171018,33
2025-03,171019,27
2025-03,171102,127
2025-03,171103,44
2025-03,171201,42
2025-03,171202,60
2025-03,171203,37
2025-03,171205,38
2025-03,171206,32
2025-03,171207,127
2025-03,171208,81
2025-03,171209,38
2025-03,171210,380
2025-03,171211,101
2025-03,171212,17
2025-03,171213,31
2025-03,171214,42
2025-03,171216,20
2025-03,171217,134
2025-03,171218,13
2025-03,171220,49
2025-03,171221,19
2025-03,171223,14
2025-03,171224,14
2025-03,171225,25
2025-03,171226,57
2025-03,171301,19
2025-03,171302,125
2025-03,171303,18
2025-03,171304,93
2025-03,172001,85
2025-03,172002,91
2025-03,172021,11
2025-03,172022,45
2025-03,172023,63
2025-03,172024,10
2025-03,172025,14
2025-03,172026,97
2025-03,172027,10
2025-03,172029,17
2025-03,172030,16
2025-03,172032,27
2025-03,172033,12
2025-03,172034,10
2025-03,172101,44
2025-03,172102,18
2025-03,172104,32
2025-03,172106,12
2025-03,172107,29
2025-03,172108,10
2025-03,172109,11
2025-03,172115,13
2025-03,172116,14
2025-03,172118,11
2025-03,172201,48
2025-03,173001,458
2025-03,173020,10
2025-03,173021,120
2025-03,173022,246
2025-03,173023,205
2025-03,173024,156
2025-03,173025,469
2025-03,173026,23
2025-03,173027,426
2025-03,173028,21
2025-03,173029,223
2025-03,173030,88
2025-03,173101,133
2025-03,173104,99
2025-03,173201,11
2025-03,173205,143
2025-03,173206,74
2025-03,173207,55
2025-03,173208,51
2025-03,173209,51
2025-03,173211,61
2025-03,173212,98
2025-03,173213,27
2025-03,173214,16
2025-03,173215,40
2025-03,173217,33
2025-03,173218,40
2025-03,173220,61
2025-03,173221,49
2025-03,173222,10
2025-03,173223,75
2025-03,173225,19
2025-03,173229,79
2025-03,173233,34
2025-03,173234,26
2025-03,174001,127
2025-03,174002,38
2025-03,174003,21
2025-03,174004,51
2025-03,174005,12
2025-03,174011,15
2025-03,174013,27
2025-03,174015,33
2025-03,174017,16
2025-03,174021,96
2025-03,174023,24
2025-03,174024,21
2025-03,174026,56
2025-03,174027,53
2025-03,174028,45
2025-03,174029,116
2025-03,174030,50
2025-03,174031,32
2025-03,174032,29
2025-03,174033,31
2025-03,174034,66
2025-03,174035,37
2025-03,174101,491
2025-03,174102,97
2025-03,174103,61
2025-03,174201,31
2025-03,174301,164
2025-03,174302,18
2025-03,174303,240
2025-03,174305,26
2025-03,174306,88
2025-03,174307,64
2025-03,174308,44
2025-03,174310,28
2025-03,174311,25
2025-03,174312,21
2025-03,174314,31
2025-03,174315,99
2025-03,174316,20
2025-03,174317,13
2025-03,174319,23
2025-03,174321,79
2025-03,174401,135
2025-03,174402,11
2025-03,174403,25
2025-03,174405,15
2025-03,174503,35
2025-03,175001,218
2025-03,175002,56
2025-03,175003,74
2025-03,175004,17
2025-03,175005,79
2025-03,175006,64
2025-03,175007,14
2025-03,175008,91
2025-03,175009,46
2025-03,175011,85
2025-03,175015,10
2025-03,175018,21
2025-03,175019,13
2025-03,175021,34
2025-03,175023,37
2025-03,175024,149
2025-03,175025,54
2025-03,175026,29
2025-03,175027,114
2025-03,175028,48
2025-03,175029,108
2025-03,175030,49
2025-03,175031,75
2025-03,175032,143
2025-03,175033,60
2025-03,175034,21
2025-03,175035,53
2025-03,175036,49
2025-03,175038,123
2025-03,175039,31
2025-03,175040,82
2025-03,175042,22
2025-03,175046,73
2025-03,175047,65
2025-03,175048,58
2025-03,175049,84
2025-03,175050,34
2025-03,175052,27
2025-03,175101,118
2025-03,175102,52
2025-03,175103,21
2025-03,175105,46
2025-03,175106,101
2025-03,175121,170
2025-03,175123,329
2025-03,175124,153
2025-03,175125,109
2025-03,175126,54
2025-03,175128,23
2025-03,175129,45
2025-03,175130,20
2025-03,175131,63
2025-03,175134,77
2025-03,175136,18
2025-03,175138,35
2025-03,175141,31
2025-03,175143,13
2025-03,176001,287
2025-03,176021,67
2025-03,176022,81
2025-03,176023,114
2025-03,176025,58
2025-03,176026,31
2025-03,176027,59
2025-03,176028,29
2025-03,176029,76
2025-03,176030,31
2025-03,176031,109
2025-03,176032,27
2025-03,176033,34
2025-03,176036,81
2025-03,176037,36
2025-03,176038,26
2025-03,176039,24
2025-03,176040,69
2025-03,176041,108
2025-03,176042,50
2025-03,176043,37
2025-03,176044,21
2025-03,176045,45
2025-03,176047,152
2025-03,176048,18
2025-03,176049,60
2025-03,176051,108
2025-03,176052,137
2025-03,176053,33
2025-03,176054,36
2025-03,176056,101
2025-03,176057,58
2025-03,176058,64
2025-03,176059,65
2025-03,176060,11
2025-03,176061,210
2025-03,176063,44
2025-03,176064,34
2025-03,176066,18
2025-03,176071,13
2025-03,176073,19
2025-03,176076,29
2025-03,176077,33
2025-03,176081,32
2025-03,176082,30
2025-03,176083,69
2025-03,176084,29
2025-03,176085,19
2025-03,176086,35
2025-03,176087,32
2025-03,176088,37
2025-03,176090,44
2025-03,176091,27
2025-03,176092,48
2025-03,176093,11
2025-03,176095,33
2025-03,176096,39
2025-03,176098,21
2025-03,176101,25
2025-03,176102,32
2025-03,176103,94
2025-03,176107,34
2025-03,176108,15
2025-03,176109,11
2025-03,176110,51
2025-03,176111,20
2025-03,176115,37
2025-03,176120,157
2025-03,176121,64
2025-03,176122,98
2025-03,176125,137
2025-03,176126,51
2025-03,176128,18
2025-03,176200,58
2025-03,176201,201
2025-03,176202,98
2025-03,176203,16
2025-03,176204,116
2025-03,176205,37
2025-03,176206,135
2025-03,176207,136
2025-03,176208,113
2025-03,176209,137
2025-03,176210,37
2025-03,176211,33
2025-03,176214,35
2025-03,176215,106
2025-03,176216,19
2025-03,176217,45
2025-03,176218,19
2025-03,176225,40
2025-03,176301,30
2025-03,176302,83
2025-03,176303,46
2025-03,176304,15
2025-03,176306,23
2025-03,176308,79
2025-03,176309,97
2025-03,176310,94
2025-03,176311,91
2025-03,176312,98
2025-03,176313,33
2025-03,176314,195
2025-03,176315,41
2025-03,176316,201
2025-03,176318,23
2025-03,176319,48
2025-03,176320,122
2025-03,176321,168
2025-03,176323,22
2025-03,176324,90
2025-03,176325,29
2025-03,176401,115
2025-03,176402,32
2025-03,176403,150
2025-03,176501,22
2025-03,176502,11
2025-03,176601,89
2025-03,177001,119
2025-03,177007,12
2025-03,177020,30
2025-03,177021,11
2025-03,177023,25
2025-03,177024,54
2025-03,177025,24
2025-03,177026,39
2025-03,177027,14
2025-03,177028,23
2025-03,177029,27
2025-03,177031,15
2025-03,177033,34
2025-03,177034,27
2025-03,177038,23
2025-03,177039,24
2025-03,177040,21
2025-03,177041,32
2025-03,177042,41
2025-03,177043,44
2025-03,177044,28
2025-03,177045,20
2025-03,177048,26
2025-03,177101,65
2025-03,177103,25
2025-03,177104,27
2025-03,177105,55
2025-03,177106,39
2025-03,177107,29
2025-03,177108,23
2025-03,177109,21
2025-03,177110,47
2025-03,177112,24
2025-03,177113,54
2025-03,177114,28
2025-03,177117,31
2025-03,177118,11
2025-03,177201,37
2025-03,177202,19
2025-03,177203,70
2025-03,177204,73
2025-03,177206,45
2025-03,177207,49
2025-03,177208,44
2025-03,177209,59
2025-03,177210,47
2025-03,177211,65
2025-03,177212,36
2025-03,177213,61
2025-03,177219,23
2025-03,177220,99
2025-03,177401,42
2025-03,177501,11
2025-03,177601,42
2025-03,180001,139
2025-03,180002,133
2025-03,180003,116
2025-03,180004,69
2025-03,180005,53
2025-03,180006,52
2025-03,180007,63
2025-03,180010,103
2025-03,180011,53
2025-03,180013,30
2025-03,180015,40
2025-03,180016,20
2025-03,180017,93
2025-03,180019,12
2025-03,180020,20
2025-03,181101,161
2025-03,181102,256
2025-03,181111,159
2025-03,181121,24
2025-03,181122,148
2025-03,181123,48
2025-03,181131,176
2025-03,181132,213
2025-03,181133,90
2025-03,181141,91
2025-03,181143,62
2025-03,181145,13
2025-03,181152,15
2025-03,181201,351
2025-03,181202,198
2025-03,181203,148
2025-03,181204,75
2025-03,181205,51
2025-03,181206,256
2025-03,181207,38
2025-03,181221,222
2025-03,181224,134
2025-03,182101,233
2025-03,182117,117
2025-03,182121,171
2025-03,182122,730
2025-03,182124,223
2025-03,182125,440
2025-03,182126,151
2025-03,182128,466
2025-03,182141,282
2025-03,182142,115
2025-03,182143,265
2025-03,182144,296
2025-03,182145,267
2025-03,182146,346
2025-03,182147,125
2025-03,182148,173
2025-03,182161,33
2025-03,182201,385
2025-03,182202,396
2025-03,182203,517
2025-03,182204,586
2025-03,182205,412
2025-03,182221,125
2025-03,182222,105
2025-03,182301,63
2025-03,182311,197
2025-03,182312,11
2025-03,182313,271
2025-03,182315,567
2025-03,182320,14
2025-03,184101,99
2025-03,184102,24
2025-03,184104,70
2025-03,184120,115
2025-03,184121,197
2025-03,184141,121
2025-03,184142,108
2025-03,184143,115
2025-03,184144,188
2025-03,184145,22
2025-03,184148,118
2025-03,184151,64
2025-03,184152,67
2025-03,184201,211
2025-03,184202,58
2025-03,184203,155
2025-03,184204,134
2025-03,184205,229
2025-03,184206,197
2025-03,185101,643
2025-03,185102,458
2025-03,185111,592
2025-03,185121,758
2025-03,185131,442
2025-03,185132,425
2025-03,185135,174
2025-03,185151,360
2025-03,185152,152
2025-03,185153,92
2025-03,185154,96
2025-03,185155,108
2025-03,185156,70
2025-03,185201,260
2025-03,185202,239
2025-03,185203,193
2025-03,185212,435
2025-03,185233,115
2025-03,190001,135
2025-03,190002,195
2025-03,190003,154
2025-03,190004,16
2025-03,190005,56
2025-03,190006,149
2025-03,190008,63
2025-03,190009,49
2025-03,190010,104
