pincode,bio_age_5_17,demo_age_5_17,age_5_17,mbu_rate,demo_rate,risk_category,ihs_score,strategy,state,district
131102,792.0,41.0,3.0,264.0,13.666666666666666,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
131103,849.0,136.0,14.0,60.642857142857146,9.714285714285714,Medium Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
524317,617.0,51.0,13.0,47.46153846153846,3.923076923076923,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524318,180.0,28.0,7.0,25.714285714285715,4.0,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524319,6.0,3.0,1.0,6.0,3.0,Low Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524320,1337.0,146.0,37.0,36.13513513513514,3.945945945945946,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524321,853.0,94.0,17.0,50.1764705882353,5.529411764705882,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524322,1573.0,110.0,92.0,17.097826086956523,1.1956521739130435,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524323,622.0,37.0,6.0,103.66666666666667,6.166666666666667,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524341,722.0,104.0,11.0,65.63636363636364,9.454545454545455,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524342,318.0,20.0,2.0,159.0,10.0,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524343,1772.0,109.0,14.0,126.57142857142857,7.785714285714286,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524344,1452.0,169.0,8.0,181.5,21.125,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
262201,21696.0,1346.0,719.0,30.175243393602226,1.8720445062586926,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262202,6929.0,381.0,172.0,40.28488372093023,2.2151162790697674,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262203,5894.0,502.0,105.0,56.13333333333333,4.780952380952381,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
524345,2476.0,172.0,125.0,19.808,1.376,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524346,808.0,71.0,17.0,47.529411764705884,4.176470588235294,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524347,8.0,3.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Andhra Pradesh,Nellore
524366,548.0,54.0,5.0,109.6,10.8,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524401,761.0,91.0,11.0,69.18181818181819,8.272727272727273,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524402,939.0,97.0,17.0,55.23529411764706,5.705882352941177,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524403,923.0,115.0,45.0,20.511111111111113,2.5555555555555554,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524404,1159.0,85.0,15.0,77.26666666666667,5.666666666666667,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524405,1703.0,170.0,21.0,81.0952380952381,8.095238095238095,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524406,870.0,59.0,52.0,16.73076923076923,1.1346153846153846,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524407,1458.0,117.0,46.0,31.695652173913043,2.5434782608695654,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524408,1203.0,92.0,10.0,120.3,9.2,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524409,764.0,68.0,22.0,34.72727272727273,3.090909090909091,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524410,783.0,46.0,9.0,87.0,5.111111111111111,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524411,1040.0,48.0,99.0,10.505050505050505,0.48484848484848486,Low Load,848.4848484848485,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524412,1863.0,120.0,53.0,35.15094339622642,2.2641509433962264,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524413,877.0,45.0,39.0,22.487179487179485,1.1538461538461537,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524414,655.0,30.0,7.0,93.57142857142857,4.285714285714286,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524415,813.0,43.0,11.0,73.9090909090909,3.909090909090909,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524421,811.0,89.0,33.0,24.575757575757574,2.696969696969697,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
262302,505.0,53.0,8.0,63.125,6.625,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262305,2943.0,277.0,40.0,73.575,6.925,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262308,12654.0,2381.0,133.0,95.14285714285714,17.902255639097746,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262309,1638.0,210.0,17.0,96.3529411764706,12.352941176470589,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262310,700.0,109.0,12.0,58.333333333333336,9.083333333333334,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262311,2730.0,202.0,15.0,182.0,13.466666666666667,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
786601,485.0,70.0,66.0,7.348484848484849,1.0606060606060606,Low Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
786602,894.0,115.0,175.0,5.1085714285714285,0.6571428571428571,Low Load,865.7142857142857,Maintain (Digital Nudges),Assam,Dhubri
786610,1020.0,107.0,111.0,9.18918918918919,0.963963963963964,Low Load,896.3963963963964,Maintain (Digital Nudges),Assam,Dhubri
786611,384.0,38.0,66.0,5.818181818181818,0.5757575757575758,Low Load,857.5757575757576,Maintain (Digital Nudges),Assam,Dhubri
786612,600.0,70.0,71.0,8.450704225352112,0.9859154929577465,Low Load,898.5915492957747,Maintain (Digital Nudges),Assam,Dhubri
786613,781.0,85.0,92.0,8.48913043478261,0.9239130434782609,Low Load,892.3913043478261,Maintain (Digital Nudges),Assam,Dhubri
786614,339.0,39.0,33.0,10.272727272727273,1.1818181818181819,Low Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
786621,158.0,17.0,17.0,9.294117647058824,1.0,Low Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
786622,8.0,6.0,3.0,2.6666666666666665,2.0,Low Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
786623,145.0,24.0,15.0,9.666666666666666,1.6,Low Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
786624,14.0,5.0,2.0,7.0,2.5,Low Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
786629,98.0,2.0,6.0,16.333333333333332,0.3333333333333333,Medium Load,833.3333333333334,Maintain (Digital Nudges),Assam,Dhubri
786630,162.0,7.0,4.0,40.5,1.75,Medium Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
786631,114.0,17.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Assam,Dhubri
131301,5242.0,966.0,15.0,349.46666666666664,64.4,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
131302,1233.0,200.0,1.0,1233.0,200.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
131304,745.0,51.0,1.0,745.0,51.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
131305,567.0,27.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Haryana,Sonipat
131306,887.0,74.0,2.0,443.5,37.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
262401,11366.0,1810.0,111.0,102.3963963963964,16.306306306306308,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262402,2638.0,226.0,23.0,114.69565217391305,9.826086956521738,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
786692,37.0,7.0,4.0,9.25,1.75,Low Load,900.0,Maintain (Digital Nudges),Assam,Dhubri
262405,7809.0,782.0,48.0,162.6875,16.291666666666668,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262406,14205.0,1283.0,239.0,59.43514644351465,5.368200836820083,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262407,7279.0,357.0,144.0,50.548611111111114,2.4791666666666665,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
131402,1548.0,241.0,5.0,309.6,48.2,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
131403,475.0,40.0,2.0,237.5,20.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
131408,1079.0,81.0,6.0,179.83333333333334,13.5,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
131409,483.0,27.0,2.0,241.5,13.5,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
262501,2156.0,163.0,13.0,165.84615384615384,12.538461538461538,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262502,216.0,21.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
262520,217.0,14.0,1.0,217.0,14.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262521,761.0,62.0,4.0,190.25,15.5,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262522,2781.0,153.0,15.0,185.4,10.2,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262523,3054.0,260.0,23.0,132.7826086956522,11.304347826086957,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262524,2385.0,464.0,18.0,132.5,25.77777777777778,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262525,403.0,30.0,2.0,201.5,15.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262526,50.0,3.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
262527,477.0,78.0,1.0,477.0,78.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262528,1922.0,134.0,18.0,106.77777777777777,7.444444444444445,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262529,624.0,56.0,2.0,312.0,28.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262530,696.0,33.0,3.0,232.0,11.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262531,780.0,58.0,4.0,195.0,14.5,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262532,603.0,101.0,13.0,46.38461538461539,7.769230769230769,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262533,181.0,17.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
262534,361.0,63.0,3.0,120.33333333333333,21.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262541,465.0,35.0,3.0,155.0,11.666666666666666,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262542,233.0,18.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
262543,427.0,49.0,5.0,85.4,9.8,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262544,480.0,48.0,5.0,96.0,9.6,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262545,950.0,130.0,9.0,105.55555555555556,14.444444444444445,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262546,24.0,3.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
262547,239.0,33.0,6.0,39.833333333333336,5.5,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262550,25.0,10.0,1.0,25.0,10.0,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262551,551.0,104.0,8.0,68.875,13.0,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262552,610.0,94.0,8.0,76.25,11.75,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262553,668.0,148.0,21.0,31.80952380952381,7.0476190476190474,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262554,671.0,40.0,8.0,83.875,5.0,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262555,383.0,50.0,8.0,47.875,6.25,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262576,514.0,37.0,6.0,85.66666666666667,6.166666666666667,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262580,1096.0,82.0,5.0,219.2,16.4,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262701,10165.0,1067.0,906.0,11.219646799116997,1.1777041942604856,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262702,1365.0,137.0,78.0,17.5,1.7564102564102564,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
787001,604.0,181.0,53.0,11.39622641509434,3.4150943396226414,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
262721,1481.0,168.0,75.0,19.746666666666666,2.24,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262722,5375.0,384.0,313.0,17.17252396166134,1.2268370607028753,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262723,5599.0,518.0,456.0,12.278508771929825,1.1359649122807018,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262724,3184.0,311.0,496.0,6.419354838709677,0.6270161290322581,Low Load,862.7016129032259,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262725,1782.0,156.0,123.0,14.487804878048781,1.2682926829268293,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262726,1900.0,218.0,111.0,17.117117117117118,1.9639639639639639,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262727,5410.0,468.0,437.0,12.379862700228832,1.070938215102975,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262728,2302.0,187.0,144.0,15.98611111111111,1.2986111111111112,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
787026,841.0,62.0,42.0,20.023809523809526,1.4761904761904763,Medium Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787031,2522.0,493.0,248.0,10.169354838709678,1.9879032258064515,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787032,1647.0,348.0,261.0,6.310344827586207,1.3333333333333333,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787033,225.0,22.0,18.0,12.5,1.2222222222222223,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787034,898.0,138.0,91.0,9.868131868131869,1.5164835164835164,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787035,386.0,36.0,25.0,15.44,1.44,Medium Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787051,665.0,121.0,25.0,26.6,4.84,Medium Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787052,1578.0,359.0,132.0,11.954545454545455,2.7196969696969697,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787053,1085.0,82.0,43.0,25.232558139534884,1.9069767441860466,Medium Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787054,1620.0,299.0,101.0,16.03960396039604,2.9603960396039604,Medium Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787055,2598.0,288.0,234.0,11.102564102564102,1.2307692307692308,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787056,708.0,69.0,110.0,6.4363636363636365,0.6272727272727273,Low Load,862.7272727272727,Maintain (Digital Nudges),Assam,North Lakhimpur
787057,2004.0,235.0,392.0,5.112244897959184,0.5994897959183674,Low Load,859.9489795918367,Maintain (Digital Nudges),Assam,North Lakhimpur
787058,1156.0,131.0,124.0,9.32258064516129,1.0564516129032258,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787059,2502.0,596.0,341.0,7.3372434017595305,1.747800586510264,Low Load,900.0,Maintain (Digital Nudges),Assam,North Lakhimpur
787060,2140.0,367.0,484.0,4.421487603305785,0.7582644628099173,Low Load,875.8264462809917,Maintain (Digital Nudges),Assam,North Lakhimpur
787061,960.0,143.0,166.0,5.783132530120482,0.8614457831325302,Low Load,886.1445783132531,Maintain (Digital Nudges),Assam,North Lakhimpur
262801,1646.0,169.0,97.0,16.969072164948454,1.7422680412371134,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262802,13732.0,1366.0,1333.0,10.301575393848463,1.0247561890472618,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262803,1135.0,119.0,58.0,19.56896551724138,2.0517241379310347,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262804,17520.0,1096.0,1688.0,10.37914691943128,0.6492890995260664,Low Load,864.9289099526067,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262805,2641.0,271.0,174.0,15.17816091954023,1.5574712643678161,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
787110,3.0,4.0,4.0,0.75,1.0,Low Load,850.0,Maintain (Digital Nudges),Assam,North Lakhimpur
262901,5055.0,416.0,212.0,23.84433962264151,1.9622641509433962,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262902,13169.0,991.0,655.0,20.105343511450382,1.5129770992366411,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262903,6186.0,588.0,961.0,6.437044745057232,0.6118626430801248,Low Load,861.1862643080125,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262904,1281.0,95.0,45.0,28.466666666666665,2.111111111111111,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262905,2701.0,245.0,195.0,13.851282051282052,1.2564102564102564,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262906,3023.0,313.0,288.0,10.496527777777779,1.0868055555555556,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
262907,3882.0,315.0,808.0,4.804455445544554,0.38985148514851486,Low Load,838.9851485148515,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263001,103.0,13.0,3.0,34.333333333333336,4.333333333333333,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263002,978.0,138.0,12.0,81.5,11.5,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
394101,3514.0,1080.0,88.0,39.93181818181818,12.272727272727273,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394105,1238.0,355.0,17.0,72.82352941176471,20.88235294117647,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394107,4886.0,1175.0,203.0,24.06896551724138,5.788177339901478,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394110,2347.0,197.0,68.0,34.51470588235294,2.8970588235294117,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394111,29.0,10.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Gujarat,Surat
394115,430.0,32.0,4.0,107.5,8.0,High Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394116,12.0,1.0,2.0,6.0,0.5,Low Load,850.0,Maintain (Digital Nudges),Gujarat,Surat
394120,1331.0,181.0,20.0,66.55,9.05,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394125,256.0,28.0,2.0,128.0,14.0,High Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394130,1422.0,383.0,43.0,33.06976744186046,8.906976744186046,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394140,594.0,1.0,1.0,594.0,1.0,High Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
132001,10888.0,3616.0,90.0,120.97777777777777,40.17777777777778,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
394150,1008.0,190.0,34.0,29.647058823529413,5.588235294117647,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394155,183.0,37.0,2.0,91.5,18.5,High Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394160,1794.0,345.0,6.0,299.0,57.5,High Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
394163,943.0,69.0,1.0,943.0,69.0,High Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
132022,581.0,47.0,2.0,290.5,23.5,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
132023,583.0,108.0,2.0,291.5,54.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
132024,1569.0,167.0,5.0,313.8,33.4,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
394170,554.0,59.0,2.0,277.0,29.5,High Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
132036,1310.0,83.0,2.0,655.0,41.5,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
132037,895.0,123.0,7.0,127.85714285714286,17.571428571428573,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
394180,1534.0,416.0,58.0,26.448275862068964,7.172413793103448,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
132039,2670.0,284.0,6.0,445.0,47.333333333333336,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
132040,937.0,98.0,1.0,937.0,98.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
132041,2123.0,280.0,5.0,424.6,56.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
394185,944.0,231.0,18.0,52.44444444444444,12.833333333333334,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
132046,839.0,65.0,1.0,839.0,65.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
394190,773.0,175.0,24.0,32.208333333333336,7.291666666666667,Medium Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
132054,1309.0,170.0,5.0,261.8,34.0,High Load,900.0,Maintain (Digital Nudges),Haryana,Karnal
263126,2748.0,172.0,18.0,152.66666666666666,9.555555555555555,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263128,61.0,5.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
263127,132.0,16.0,3.0,44.0,5.333333333333333,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263132,2850.0,297.0,27.0,105.55555555555556,11.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263134,711.0,73.0,4.0,177.75,18.25,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263135,805.0,89.0,3.0,268.3333333333333,29.666666666666668,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263136,1564.0,118.0,13.0,120.3076923076923,9.076923076923077,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263137,33.0,6.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
263138,308.0,23.0,5.0,61.6,4.6,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263139,15346.0,3897.0,238.0,64.47899159663865,16.373949579831933,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263140,1060.0,113.0,7.0,151.42857142857142,16.142857142857142,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263141,210.0,20.0,1.0,210.0,20.0,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
394210,16650.0,4468.0,1414.0,11.775106082036775,3.15983026874116,Low Load,900.0,Maintain (Digital Nudges),Gujarat,Surat
263144,1.0,0.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
263145,445.0,25.0,8.0,55.625,3.125,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263146,50.0,4.0,4.0,12.5,1.0,Low Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263148,9670.0,2743.0,151.0,64.03973509933775,18.165562913907284,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263149,296.0,44.0,8.0,37.0,5.5,Medium Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
263150,198.0,5.0,0.0,0.0,0.0,Low Load,600.0,Intervention (Mobile Vans/Camps),Uttar Pradesh,Lucknow
263151,1763.0,111.0,5.0,352.6,22.2,High Load,900.0,Maintain (Digital Nudges),Uttar Pradesh,Lucknow
